Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,EBITDA,Total Debt,Free Cash Flow,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,"Earnings Per Share, Basic","Earnings Per Share, Diluted",Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Dividends Per Share,Pietroski F-Score
CFG,378202,USD,2020,Q4,2021-02-23,2021-02-23,1876000000.0,8589000000.0,-947000000.0,,0.18798,0.13758,0.0419,0.00518,-0.99684,,7.08667,0.04685,2.2245,2.21881,16.16859,48.48939,-2.21747,1.8030099999999998,
CFR,419929,USD,2021,Q1,2021-04-29,2021-04-29,451187000.0,2158856000.0,240354000.0,,0.31647,0.29607,0.09144,0.00886,0.61588,,9.32044,0.049010000000000005,6.2051300000000005,6.17544,20.95834,65.54729,3.8216300000000003,2.92441,
CIT,335466,USD,2020,Q4,2021-02-19,2021-02-19,94399999.0,5837300000.0,-224700001.0,,-0.0964,-0.26743,-0.11295,-0.01112,0.34762,,9.15335,0.10046000000000001,-6.56877,-6.56877,24.56278,52.8215,-2.28342,1.7428,
CMA,378118,USD,2021,Q1,2021-04-28,2021-04-28,1239000000.0,2852000000.0,805000000.0,,0.3913,0.30157,0.10635,0.01005,0.9284899999999999,,9.58526,0.03305,6.24865,6.19286,20.72072,58.75315,5.8018,2.8036,
CNND,546895,USD,2013,Q3,2013-11-08,2013-11-08,38296000.0,0.0,63499000.0,,0.30539,0.20874,0.13953,0.01093,2.9728,,11.76108,0.0,11.26866,11.08094,53.9846,79.82287,33.49948,3.3141300000000005,
COF,378103,USD,2020,Q4,2021-02-25,2021-02-25,6704000000.0,28050000000.0,-1184000000.0,,0.1123,0.08327000000000001,0.03945,0.00563,-0.49853000000000003,,6.00289,0.06652999999999999,5.18785,5.17542,62.3045,131.50721000000001,-2.58628,1.61643,
DFS,378127,USD,2020,Q4,2021-02-17,2021-02-17,1920000000.0,21241000000.0,2061000000.0,,0.12942,0.09957,0.10142999999999999,0.00978,1.86685,,9.372010000000001,0.18816,3.5960900000000002,3.5960900000000002,36.117259999999995,32.01303,6.713360000000001,1.87622,
EWBC,335579,USD,2020,Q4,2021-02-26,2021-02-26,805673000.0,1125360000.0,839079000.0,,0.42522,0.35207,0.10776,0.01089,1.27357,,8.8985,0.021580000000000002,3.9891300000000003,3.97086,11.33051,37.01927,5.77356,1.11161,
FCNCA,446741,USD,2020,Q4,2021-02-24,2021-02-24,759324000.0,1889650000.0,756198000.0,,0.33132,0.25613,0.11294000000000001,0.009559999999999999,1.58313,,10.81237,0.03783,47.497009999999996,47.497009999999996,185.4413,386.74205,75.1938,3.02218,
FFIN,998435,USD,2020,Q4,2021-02-22,2021-02-22,255158000.0,430093000.0,227890000.0,,0.4948,0.41247,0.12039000000000001,0.01853,1.12798,,5.49777,0.039439999999999996,1.42245,1.41733,3.44865,11.815539999999999,1.60449,0.49508,
FHB,210774,USD,2020,Q4,2021-02-25,2021-02-25,306795000.0,200010000.0,-128194000.0,,0.33245,0.25338,0.06769,0.0082,-0.69013,,7.2587399999999995,0.00883,1.43008,1.42646,5.6441,21.12633,-0.9869399999999999,1.0401,
