Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
KATE,441025,USD,2017,Q1,2017-05-01,2017-05-01,128157000.0,129243500.0,141836000.0,50256000.0,48777000.0,-21306000.0,,,,,217167000,-44341000.0,,0.0,-48335000.0,,-3528000.0,3376000.0,-5866000.0,161685000
KBH,821503,USD,2021,Q1,2021-04-09,2021-04-09,90932500.0,94260500.0,333546000.0,28160000.0,132261000.0,-252688000.0,,,,,241279000,-31268000.0,,-11330000.0,-30447000.0,-43896000.0,-106231000.0,10370000.0,-70800000.0,140032000
KBR,1056225,USD,2021,Q1,2021-04-29,2021-04-29,141750000.0,142500000.0,81000000.0,126000000.0,-18000000.0,187000000.0,,,,,376000000,-30000000.0,,-826000000.0,-888000000.0,-57000000.0,470000000.0,6000000.0,358000000.0,-121000000
KDP,378130,USD,2021,Q1,2021-04-29,2021-04-29,1407750000.0,1423475000.0,1494000000.0,499000000.0,433000000.0,162000000.0,,,,,2588000000,-449000000.0,0.0,-5000000.0,-449000000.0,-826000000.0,-1196000000.0,140000000.0,-2017000000.0,126000000
KE,175788,USD,2021,Q3,2021-05-06,2021-05-06,25088000.0,25286000.0,41072000.0,33234000.0,11319000.0,39620000.0,,,,,125245000,-33084000.0,,0.0,-33852000.0,,-59362000.0,-2996000.0,-63174000.0,31339000
KEM,641260,USD,2019,Q4,2020-07-29,2020-07-29,59415000.0,59415000.0,41381000.0,62819000.0,67106000.0,-12450000.0,,,,,158856000,-146331000.0,-5000000.0,-1294000.0,-143313000.0,-5803000.0,16233000.0,327000.0,8814000.0,22545000
KEX,1067478,USD,2021,Q1,2021-05-07,2021-05-07,59945250.0,59945250.0,72251000.0,219025000.0,108714000.0,76007000.0,,,,,475997000,-94941000.0,,-294550000.0,-389491000.0,,-354583000.0,411000.0,-356744000.0,-270238000
KEYS,186556,USD,2021,Q2,2021-05-28,2021-05-28,186250000.0,188000000.0,751000000.0,339000000.0,152000000.0,-24000000.0,,,,,1218000000,-123000000.0,7000000.0,-488000000.0,-611000000.0,,-7000000.0,-394000000.0,-457000000.0,166000000
KFY,211211,USD,2021,Q4,2021-06-28,2021-06-28,53029750.0,53265750.0,115562000.0,61845000.0,41239000.0,32787000.0,,,,,251433000,-31122000.0,-33816000.0,0.0,-61379000.0,-22498000.0,-1324000.0,-24681000.0,-66886000.0,161534000
KHC,693432,USD,2021,Q1,2021-04-30,2021-04-30,1223250000.0,1230000000.0,548000000.0,948000000.0,3257000000.0,774000000.0,,,,,5527000000,-692000000.0,,0.0,-616000000.0,-1959000000.0,-6023000000.0,0.0,-8079000000.0,-3043000000
KIM,378175,USD,2021,Q1,2021-04-30,2021-04-30,430147250.0,432072750.0,1053913000.0,294434000.0,-901468000.0,136156000.0,,,,,583035000,-237295000.0,14096000.0,-11307000.0,-50644000.0,-332658000.0,-365664000.0,160000.0,-730335000.0,-197944000
KIRK,188255,USD,2021,Q1,2021-06-01,2021-06-01,14201250.0,15102500.0,25796000.0,22475000.0,7775000.0,35227000.0,,,,,91273000,-7681000.0,,,-7681000.0,0.0,-40000000.0,-1122000.0,-41457000.0,42135000
KITE,73743,USD,2017,Q2,2017-08-08,2017-08-08,51568699.0,51568699.0,-359104000.0,12687000.0,109179000.0,81433000.0,,,,,-155805000,-11957000.0,-288209000.0,0.0,-300166000.0,,-156000.0,436010000.0,433595000.0,-22322000
KKD,47513,USD,2017,Q1,2017-06-10,2017-06-10,64594750.0,66115500.0,31148000.0,16262000.0,26389000.0,6846000.0,,,,,80645000,-32115000.0,,-1750000.0,-32840000.0,,-344000.0,-77402000.0,-77746000.0,-29941000
KKR,805180,USD,2021,Q1,2021-05-10,2021-05-10,558774162.0,565611138.0,13260918000.0,,-21197335000.0,3315964000.0,,,,,-4620453000,-139742000.0,,-415640000.0,-483978000.0,-345828000.0,5602485000.0,-71366000.0,12752629000.0,7707632000
