Ticker,Date,Close
ABCB,2021-04-30,52.200999999999894
ABTX,2021-04-30,40.317999999997376
AJX,2021-04-30,13.45643333333453
ARI,2021-04-30,14.030666666669381
AXP,2021-04-30,142.35800000000256
BAC,2021-04-30,37.29166666666963
BBT,2021-04-30,58.46000000000277
BK,2021-04-30,45.57566666666672
BOKF,2021-04-30,91.65666666666708
C,2021-04-30,71.24466666673605
CFG,2021-04-30,44.34700000006921
CFR,2021-04-30,110.72200000006913
CIT,2021-04-30,49.849666666735324
CMA,2021-04-30,69.8880000000003
CNND,2021-04-30,194.19473333333158
COF,2021-04-30,126.85933333333386
DFS,2021-04-30,96.7906666666694
EWBC,2021-04-30,74.59666666667084
FCNCA,2021-04-30,194.19473333333158
FFIN,2021-04-30,47.290666666670376
FHB,2021-04-30,28.607000000003765
FITB,2021-04-30,37.11066666667061
FMAO,2021-04-30,25.089666666671366
FMBH,2021-04-30,41.20000000000469
FNB,2021-04-30,13.45643333333453
GBCI,2021-04-30,59.02866666666713
GS,2021-04-30,194.19473333333158
HBAN,2021-04-30,15.96066666666743
HBHC,2021-04-30,41.71733333333413
HOMB,2021-04-30,26.651666666665
HTH,2021-04-30,35.29133333333186
IBKR,2021-04-30,75.62633333333194
IBOC,2021-04-30,47.550333333332134
ISBC,2021-04-30,14.199666666667053
JPM,2021-04-30,152.63433333333595
KEY,2021-04-30,20.434000000002268
LARK,2021-04-30,26.80500000000164
MBWM,2021-04-30,31.964666666667835
MCBC,2021-04-30,13.45643333333453
MS,2021-04-30,80.50566666666688
MTB,2021-04-30,154.08200000000062
NAVI,2021-04-30,13.45643333333453
NKSH,2021-04-30,35.70133333333295
NTRS,2021-04-30,101.50366666667063
OPY,2021-04-30,40.49166666665949
PACW,2021-04-30,38.82699999999267
PBCT,2021-04-30,18.067666666659928
PGC,2021-04-30,29.868333333326444
PNC,2021-04-30,175.37966666665974
PNFP,2021-04-30,87.52566666665969
RF,2021-04-30,21.00399999999244
SCHW,2021-04-30,64.87300015883004
SFBC,2021-04-30,39.128666825497575
SIVB,2021-04-30,194.19473333333158
SLFC,2021-04-30,52.64800015883224
SRCE,2021-04-30,47.18500015883198
STBA,2021-04-30,32.29000015883232
STT,2021-04-30,81.05733349216514
SYF,2021-04-30,40.628666825497895
TFSL,2021-04-30,20.669000158829434
TSC,2021-04-30,24.32366682549658
UMBF,2021-04-30,91.4886668254974
USB,2021-04-30,53.57766682549717
WAL,2021-04-30,95.27033349215323
WFC,2021-04-30,38.596333492153796
WSBC,2021-04-30,35.222000158820805
ZION,2021-04-30,55.53033349215498
