Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Loans & Interbank,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Effect of Foreign Exchange Rates,Net Change in Cash
IBKC,129297,USD,2020,Q1,2020-05-08,2020-05-08,52276500,52567250,320449000.0,20769000.0,96865000.0,2143851000.0,-2190026000.0,391908000,-26766000.0,-1548478000.0,0.0,-439400000,-130368000.0,-902241000.0,-78406000.0,320657000,,273165000
IBOC,369401,USD,2021,Q1,2021-05-06,2021-05-06,63285036,63400856,183252000.0,28008000.0,29735000.0,54727000.0,48295000.0,344017000,-5002000.0,1903956000.0,,-960294000,-104741000.0,-100573000.0,-17688000.0,2229339000,,1613062000
JPM,243510,USD,2021,Q1,2021-05-04,2021-05-04,3076825000,3081950000,40566000000.0,8487000000.0,5039000000.0,380000000.0,-58165000000.0,-3693000000,,16836000000.0,-24000000.0,-110688000000,-12695000000.0,49485000000.0,-3306000000.0,453251000000,4668000000.0,343538000000
JUVF,141652,USD,2021,Q1,2021-05-14,2021-05-14,5052500,5058750,6199000.0,861000.0,286000.0,563000.0,-850000.0,7059000,71000.0,-45656000.0,0.0,-154132000,-4445000.0,9839000.0,-1679000.0,131242000,,-15831000
KEY,378174,USD,2021,Q1,2021-05-04,2021-05-04,967867250,974481250,1819000000.0,74000000.0,569000000.0,14413000000.0,-15234000000.0,1641000000,148000000.0,-152000000.0,-9000000.0,-20529000000,-828000000.0,-6921000000.0,-137000000.0,18961000000,,73000000
LARK,130464,USD,2021,Q1,2021-05-17,2021-05-17,4735145,4735815,21497000.0,2744000.0,2600000.0,444626000.0,-454481000.0,16986000,315000.0,-168175000.0,0.0,-168387000,-3664000.0,-5037000.0,-295000.0,231770000,,80369000
MS,86439,USD,2021,Q1,2021-05-03,2021-05-03,1663000000,1685250000,13567000000.0,3832000000.0,-505000000.0,2188000000.0,-41270000000.0,-22188000000,-1615000000.0,-11180000000.0,1159000000.0,-39351000000,-2806000000.0,7683000000.0,-2690000000.0,45394000000,2754000000.0,-13391000000
MTB,335339,USD,2021,Q1,2021-05-06,2021-05-06,128348250,128432500,1531579000.0,322433000.0,525000000.0,26667000.0,-227313000.0,2178366000,-151758000.0,-28705872000.0,-1932596000.0,-27099865000,-635186000.0,-2765068000.0,0.0,24883296000,,-38203000
NKSH,129536,USD,2020,Q4,2021-03-18,2021-03-18,6483230,6483230,16077000.0,708000.0,1991000.0,35424000.0,-40407000.0,13793000,-1792000.0,-68512000.0,,-177604000,-9000000.0,,-1722000.0,166668000,,2857000
OZRK,135823,USD,2017,Q1,2017-05-05,2017-05-05,112115250,112375750,307596000.0,17293000.0,26708000.0,205507000.0,-218460000.0,338644000,6152000.0,-2515202000.0,203695000.0,-1505176000,-69229000.0,-895000.0,3707000.0,1472536000,,306004000
