Ticker,Date,Shares (Basic),Shares (Diluted),Revenue,Total Claims & Losses,Operating Income (Loss),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Total Investments,"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Assets,Insurance Reserves,Long Term Debt,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Net Change in Investments,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,EBITDA,Total Debt,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Liabilities to Equity Ratio,Debt Ratio,"Earnings Per Share, Basic","Earnings Per Share, Diluted",Sales Per Share,Equity Per Share,Dividends Per Share,Sector,Industry
AFL,2021-06-30,704845000.0,707299000.0,32.311653204656025,-16.38910842514976,7.480570451817407,7.12852697374095,0.654602933130119,7.783129906871069,195.53116857227283,7.055007853821368,1.0985453111060528,223.60698940617758,152.5592429792775,11.435050805953352,178.21882966044063,3.637782606790056,-23.404529060552893,55.53097063618074,45.38815974573695,223.60698940617758,7.783129906871069,0.0,2.5335819787671126,-2.9266265044910287,-5.4743467755503685,-1.1211665787736163,1.9793609209118068,-2.4091650065955132,-1.610351492084677,1.1904442110055296,0.0,11.435050805953352,0.23151,0.24088,0.17148,0.03481,3.92655,0.05114,7.810230000000001,7.78313,32.42415,45.54618,1.12507,2,2
AIG,2021-06-30,867782318.0,868660386.0,50.36145391807933,-31.258476198084622,5.30702225437963,-5.897586769888687,1.8027758894486987,-4.094810880439988,401.1429617558271,3.2187492892072553,13.615217397515812,672.748532589352,359.01027032675114,33.07506646216511,599.5783949563,99.02489095433437,-56.88298994217057,22.01205477787265,73.17013763305191,672.748532589352,-4.094810880439988,4.219140252126105,6.56758393953054,-7.018853510835706,-4.6784682086331495,-1.303156006932265,1.6335498002092614,-0.416733634725689,1.9708507808021534,-0.07597906047484937,9.526162506505736,10.60943971721533,0.10538,-0.08791,-0.06051,-0.00658,8.1943,0.01577,-4.43199,-4.42751,50.412409999999994,72.22894000000001,1.30447,2,3
AIZ,2021-06-30,59762162.0,62719055.0,160.69597987405902,-40.5427026921882,13.702374820538989,9.698806845862075,-2.641940316224471,7.056866529637603,125.48020693232702,26.32852169089601,30.679671433187252,708.0878371014996,297.4773774891857,35.136052352829616,615.2037845595728,28.779132593754802,-1.9579376634421548,57.96484019091168,92.88405254192685,708.0878371014996,7.1764474129911555,2.4426388439685516,9.059447722865084,-7.3215388688493475,-14.391160676767212,-2.7663044349121653,-3.278110615665367,-4.818312393259114,-8.118744773817143,-5.234453835441239,16.14501366450754,35.136052352829616,0.08527,0.0428,0.07405,0.00971,6.62335,0.04962,7.218610000000001,6.87829,168.64684,97.42285,2.9031700000000003,2,3
ALL,2021-06-30,307875000.0,311500000.0,152.08988764044943,-82.13162118780096,28.590690208667738,28.764044943820224,-5.826645264847512,22.937399678972714,192.86035313001605,2.276083467094703,25.428571428571427,416.72873194221506,65.08507223113965,25.669341894060995,330.7191011235955,11.573033707865168,-102.36276083467095,164.06741573033707,86.00963081861958,416.72873194221506,11.685393258426966,0.0,12.173354735152488,6.301765650080257,-9.617977528089888,-2.5008025682182984,2.462279293739968,-6.359550561797753,-7.691813804173354,2.828250401284109,0.0,25.669341894060995,0.18799000000000002,0.07472000000000001,0.13213,0.02727,3.8451400000000002,0.0616,11.49817,11.36437,153.88063,80.06170999999999,2.53025,2,4
ANTM,2021-06-30,248950000.0,252250000.0,494.07730426164517,-357.7998017839445,28.313181367690785,25.074331020812686,-6.378592666005947,18.69573835480674,131.6828543111992,36.97125867195243,48.72547076313182,379.3181367690783,27.710604558969276,92.10703666997027,244.85629335976213,36.68979187314172,0.0,98.28741328047572,134.46184340931615,379.3181367690783,18.69573835480674,4.622398414271556,-0.7690782953419227,-12.218037661050545,-27.14370664023786,-3.9286422200198214,5.494549058473736,-9.502477700693756,0.5629335976214074,15.781962338949455,32.93557978196234,92.10703666997027,0.05731,0.03782,0.13898,0.04927,1.8210099999999998,0.24281999999999998,18.93553,18.68781,500.62663,135.98313000000002,3.98072,1,1
CB,2021-06-30,451270548.0,453145330.0,84.44972830239693,-50.97702319915776,15.092288383508222,13.975648827717148,-1.6595117508989887,12.316137076818158,262.5625646412377,3.716247059194012,23.33247040193485,423.6543715456584,205.52788219179044,32.83494061386443,292.6059063656245,44.97894748247764,-8.608717207788503,91.88442921832605,131.04846518003396,423.6543715456584,12.316137076818158,-0.0022067975410890806,13.664490374423588,-13.185615308007257,-17.131369311474533,-3.091723355065802,-0.6907276303608822,-1.1166395557910749,-4.963087669909342,0.40384395001930173,15.090081585967134,32.83494061386443,0.17870999999999998,0.14584,0.09398,0.02907,2.2328099999999997,0.0775,12.3673,12.316139999999999,84.80057,130.91038,3.1045700000000003,2,4
CI,2021-06-30,362723250.0,362723250.0,449.7671434075428,45.78697395328256,22.846619288948254,30.282040095306822,-6.928147010151679,23.353893085155143,66.9877103273639,17.933782849596767,37.46106708075647,419.2755771790201,15.833007671826937,87.03053912314692,286.35330103598267,80.6620474425061,-25.548403638311026,81.02320433002296,132.92227614303744,419.2755771790201,23.353893085155143,7.7855500026535385,-11.761032688144473,-4.6068180079440735,6.969500852233762,-0.9511383678879145,-12.422694161457805,-15.033500058239994,-29.681030923713877,3.776984243496936,30.632169291601794,88.1443359365577,0.0508,0.05172,0.17501,0.055479999999999995,2.15429,0.21023000000000003,23.26291,23.26291,449.76714000000004,132.74308,0.95114,1,1
CINF,2021-06-30,160900000.0,162475000.0,60.69856901061702,-25.443914448376674,23.9852284966918,23.65286967225727,-4.806893368210494,18.845976304046776,135.5162332666564,5.8285890136944145,13.214340667795046,174.2606554854593,80.51084782274197,5.219264502231113,105.70857054931528,10.580089244499154,-11.1340206185567,65.25927065702416,68.55208493614403,174.2606554854593,18.845976304046776,0.5046930296968765,-8.050469302969688,-2.671180181566395,-3.5513155870133866,-2.3388213571318666,-0.35082320356978,-0.16002461917218033,-3.9390675488536697,2.837359593783659,24.489921526388674,5.570087705800892,0.39515,0.31048000000000003,0.27491,0.10815,1.5420200000000002,0.03196,19.03045,18.845979999999997,61.292730000000006,69.22312,2.36172,2,4
HUM,2021-06-30,131398000.0,132197000.0,596.7457657889362,-478.7930134571889,38.843544104631725,37.79964749578281,-9.743035015923205,28.154950566200444,117.82415637268622,29.327443134110457,16.611572123421862,283.024576957117,63.617177394343294,45.85580610755161,175.68477348200034,20.764465154277328,-75.00170200534052,160.7600777627329,107.33980347511668,283.024576957117,28.154950566200444,4.83369516706128,-3.275414721967972,-23.616269658161684,-25.28801712595596,-2.518967903961512,-5.31025666240535,-13.63117166047641,-23.918848385364267,-16.467847228000636,43.677239271693004,57.55803838211155,0.06509,0.04718,0.2623,0.09948,1.6367200000000002,0.20337,28.32615,28.15495,600.37443,107.99251000000001,2.53429,1,1
LNC,2021-06-30,192786060.0,193244583.0,90.80720260086152,-58.66658627114013,5.17996408727276,3.368787832981585,0.10867057525747048,3.4774584082390554,768.761523317836,6.985965552265959,3.3791374115775343,1897.905722925232,758.5878875580177,32.570123841453295,1796.516076210012,26.168909479858485,0.0,45.40877608972873,101.38964671521995,1897.905722925232,3.4774584082390554,0.0,0.10867057525747048,-48.91728323375564,-56.58632097335427,-1.6145342609681328,-0.031048735787848707,-0.7555192375043186,34.39164967434042,-25.108077673773654,0.0,34.12256063084573,0.05704,0.03829,0.0343,0.00183,17.71893,0.01798,3.48573,3.4774599999999998,91.02318000000001,101.63079,1.61837,2,2
