Ticker,AAME,ACGL,AFG,AFL,AGO,AIG,AIZ,ALL,ANTM,BHF,CB,CI,CINF,CNA,CNFR,ERIE,ESNT,GL,GNW,HIG,HRTG,HUM,L,LMND,LNC,MET,MKL,MMC,MTG,PFG,PGR,PRI,PRU,RDN,RGA,RLI,SAFT,SIGI,TRV,UNAM,UNM,UVE,WRB
PFG,0.9097971161878495,0.9200771566724074,0.9095198857343286,0.9471938133954616,0.7215715631843375,0.8631460897451038,0.9417261126857738,0.9325228822184682,0.9250782165589255,0.009035796900308658,0.9502078582593106,0.9308956387406816,0.840790507881097,0.8762632617707953,0.9262039474930491,0.8379441117452046,0.7702810520207806,0.9513341317702944,0.965790444545034,0.9515943794636188,0.9172737511827119,0.898019675423269,0.8347823419814695,-0.01595466770231476,0.9627375964782032,0.9356162209180788,0.9171897040517308,0.9221767993811604,0.672805935178629,0.9999999999999998,0.9280494966140733,0.9123535096006231,0.954221119571702,0.842953820822124,0.9384085915777163,0.8990739547325748,0.8784995722527565,0.9405865178962829,0.942530287406388,0.3638219080800652,0.9627196112776194,0.8745986931100351,0.9599811774837601
PGR,0.9565763172712315,0.9497317506608371,0.8580708453584366,0.9268130949989459,0.6557651935929144,0.7935295185837293,0.9609637153164282,0.9756265756096417,0.950633515595794,-0.05248791200845667,0.9519478549472384,0.9539312005471421,0.9448417047159778,0.9121458078071915,0.8016017873359754,0.9370468299981214,0.8763376359804449,0.9283300507887667,0.8982727744315461,0.980761783725123,0.8902420975694755,0.9516079504666373,0.762787050718492,-0.06298806708458851,0.8839140782960186,0.9188156278657608,0.9633853938398381,0.8748423096010108,0.7410110629683366,0.9280494966140733,1.0,0.9696473465763039,0.9084447455472184,0.7555029303539378,0.9519674029506056,0.9505984788881245,0.9864238774372746,0.9896914931123749,0.9822615981221549,0.28629680009654507,0.9563482730709231,0.9389936941034328,0.9282048302714639
PRI,0.9608926207375676,0.8870829314571789,0.853832320489837,0.9181151541843204,0.5514171323652577,0.6960177284862342,0.9059230108915022,0.9357517176278819,0.904816640769213,-0.23277218312548473,0.8968688562387112,0.9122687058321932,0.9514116710887609,0.8069378343696181,0.7748649754531137,0.852060551005175,0.9142066089940937,0.8968238215210143,0.9044566377289084,0.9326891097088201,0.8408716207749117,0.9276199018014782,0.6440940608014969,-0.16721681077322706,0.8495686671630779,0.8436523332543182,0.9474184026383526,0.8186990793029119,0.778518340197397,0.9123535096006231,0.9696473465763039,1.0,0.8783673459503006,0.7399989414093389,0.891560016384611,0.9433773568054193,0.974117995534246,0.9376405505278073,0.9254381680801934,0.23096056488478406,0.9136063800555948,0.9227328236495155,0.9083460681217853
PRU,0.8898865616591916,0.8653159448529504,0.9091998389052411,0.9316561208557161,0.6643547875590963,0.8953599391303737,0.9712938952820248,0.9430659258062231,0.9748221126929982,0.03750290031054765,0.9459062514586951,0.9783590983201432,0.7671978965022487,0.8357486412616595,0.8894996935587528,0.8200896563642137,0.6836212946250121,0.9677604496821678,0.9409280884209595,0.9577274270040637,0.9500275690538601,0.9456790868682853,0.8517014002195495,0.0983644678458419,0.9933741642248786,0.9515044338743026,0.8842299639696741,0.918660293620669,0.5907653031649889,0.954221119571702,0.9084447455472184,0.8783673459503006,1.0,0.824978376793955,0.974803626230809,0.8622818916422401,0.8356850264954638,0.9276912556690611,0.9502219373237205,0.4541765883748661,0.9868032769693316,0.8969317065552624,0.9784258144360806
RDN,0.6299895544685146,0.8433818289520268,0.9027864634299615,0.8633095376343585,0.8485109297365251,0.7712566665215507,0.7612887083986508,0.7474469744906679,0.7322894669583757,-0.051633746796683325,0.8927204737377376,0.7469852541501919,0.7440078391024879,0.7255908293310566,0.7595358684605054,0.5958455712185715,0.7201645707946506,0.8643417536752296,0.8526201302297836,0.7916934585219707,0.695519436655406,0.6611043548819842,0.8379563402472295,-0.16749961337558691,0.8190833139622499,0.7157998986833702,0.8662821768470002,0.9508141124033422,0.6976670091318175,0.842953820822124,0.7555029303539378,0.7399989414093389,0.824978376793955,0.9999999999999999,0.7639530407344713,0.7416544740803565,0.7026659743845495,0.7772702121060661,0.7788358121053687,0.08003815796308686,0.7973876331339256,0.6028884344516068,0.9034761407769651
RGA,0.9211564954831503,0.9130754187871202,0.8797209342236564,0.909111384572708,0.679536725598991,0.8996029208429033,0.9988711628118874,0.9740170632844293,0.9947103316562201,0.12667776152394583,0.9586894394738391,0.9938437474831608,0.810051720046802,0.9173619601968471,0.8692569409415529,0.9164565184144495,0.705684969190146,0.9556265629746853,0.9103441644899782,0.9892351208911785,0.9642231170850578,0.9706835475121056,0.8682384385576463,0.14377715049899129,0.9641968491686059,0.9851853163100268,0.8999685474172202,0.9072691819501613,0.5998214317378298,0.9384085915777163,0.9519674029506056,0.891560016384611,0.974803626230809,0.7639530407344713,1.0,0.8866332131129788,0.8906522426290481,0.9749357624826707,0.9897669787634032,0.4706883974848993,0.9953631180417003,0.9358574976848205,0.9545861748327137
RLI,0.9205769893990847,0.8947681968970373,0.8197144699165607,0.9343607930983666,0.6743779674179831,0.707334050549478,0.8950989829988946,0.9538428256255921,0.8877150582120095,-0.2311569375126945,0.9024154924135945,0.894668772804665,0.9179362243387392,0.8420163243410291,0.7843338985156764,0.9035377311012244,0.8773104241604812,0.9331918129578103,0.8812885008110964,0.9215701512834927,0.8411498232509617,0.8938792567567957,0.6891593999231801,-0.09268690407299679,0.8475378002674148,0.8587058599441255,0.920523914524745,0.8318374269622051,0.7744713614706048,0.8990739547325748,0.9505984788881245,0.9433773568054193,0.8622818916422401,0.7416544740803565,0.8866332131129788,1.0,0.9458669497317888,0.9313281464257617,0.9172815987474464,0.25316119340502086,0.8999163157658879,0.8601835225359006,0.8874185318578595
SAFT,0.9437052634013972,0.9245736108596262,0.8029233471977631,0.8941939268389095,0.5973309444495952,0.699851981242022,0.9046497755990022,0.9404958512132825,0.8941949759800477,-0.15064738387632112,0.9043012550980168,0.8992175543940941,0.9770416405761772,0.8683266553502889,0.7252225409694045,0.9134846515344747,0.9283752384539782,0.873588540370719,0.8494930820037287,0.9372525244265025,0.8172442351024803,0.9121823444602628,0.6650837441582355,-0.16429779876928152,0.8030526885012269,0.8474867075643906,0.9547878685788306,0.8104903321265078,0.7774087982885112,0.8784995722527565,0.9864238774372746,0.974117995534246,0.8356850264954638,0.7026659743845495,0.8906522426290481,0.9458669497317888,0.9999999999999999,0.9581234995516364,0.9398515956898765,0.18523354348037996,0.8978920122401679,0.9114422503050009,0.8722793836082343
SIGI,0.9404647659853811,0.9674522533536066,0.8769642868325404,0.920677119619857,0.7137812151075336,0.8502754292633361,0.9806025211078465,0.9778116020341825,0.9640589738540901,0.06721952681735868,0.9708585611997037,0.9653924781591003,0.9059389960472699,0.9523485115335621,0.8483112579994333,0.9508031042656193,0.8195211687808319,0.9410920213288284,0.9117550574646575,0.9948061934524959,0.9250024342005057,0.9483089224132332,0.8382359664262778,0.035132332871423005,0.9126045532286549,0.9556405933231247,0.9503134951058572,0.9107058762881293,0.7136180335798751,0.9405865178962829,0.9896914931123749,0.9376405505278073,0.9276912556690611,0.7772702121060661,0.9749357624826707,0.9313281464257617,0.9581234995516364,1.0,0.9960584934186625,0.3580157333328814,0.973446465951026,0.9337383769593559,0.941999462340878
TRV,0.9345244251871792,0.9535798028271371,0.8847709949002696,0.9218481122602024,0.7057970260057153,0.871511653132479,0.992577900745941,0.981007702691833,0.9809859972554488,0.08770360776282499,0.9737094548283175,0.981639339787092,0.87836488386303,0.9436388813097689,0.8500499117435023,0.9414526285716299,0.7838364018956606,0.951747929467808,0.9098465943329571,0.9976952772152072,0.938714041563783,0.9617472155433152,0.8541955920259188,0.060484757799820904,0.9347910692126862,0.9695170488201168,0.9407417409231836,0.9151977394346262,0.6675547439474058,0.942530287406388,0.9822615981221549,0.9254381680801934,0.9502219373237205,0.7788358121053687,0.9897669787634032,0.9172815987474464,0.9398515956898765,0.9960584934186625,1.0000000000000002,0.3858450637197997,0.9867201803306392,0.9371116610729204,0.9518443369789148
