Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,EBITDA,Total Debt,Free Cash Flow,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,"Earnings Per Share, Basic","Earnings Per Share, Diluted",Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Dividends Per Share,Pietroski F-Score
A,45846,USD,2021,Q2,2021-06-01,2021-06-01,1451000000.0,2932000000.0,1421000000.0,0.53498,0.19684000000000001,0.15902,0.19230999999999998,0.08896,1.5362200000000001,1.9988599999999999,1.16175,0.28198,3.01058,2.9814700000000003,18.932470000000002,15.655,4.6249,0.74532,7.0
AA,367153,USD,2021,Q1,2021-05-05,2021-05-05,1314000000.0,2959000000.0,1453000000.0,0.15744,0.06639,-0.007670000000000001,-0.015390000000000001,-0.00502,-19.37333,1.51847,2.06403,0.19818,-0.40323000000000003,-0.40214,52.55376,17.46237,7.8118300000000005,,5.0
AAL,68568,USD,2021,Q1,2021-04-22,2021-04-22,,39691000000.0,,0.22821999999999998,-0.71606,-0.61528,0.9935799999999999,-0.11499000000000001,,1.04362,-9.64053,0.57817,-14.72454,-14.72454,23.93157,-14.81966,,0.0,2.0
AAP,184955,USD,2021,Q1,2021-06-02,2021-06-02,1172366000.0,1033369000.0,1395686000.0,0.4464,0.08601,0.05917000000000001,0.18145,0.053529999999999994,2.19667,1.31681,2.38948,0.08707000000000001,9.2574,9.22149,156.46714,51.01871,20.33549,0.9893200000000001,8.0
AAPL,111052,USD,2021,Q2,2021-04-29,2021-04-29,99820000000.0,121645000000.0,108945000000.0,0.39881,0.27321,0.23451,1.10311,0.22634,1.42764,1.14175,3.8737699999999995,0.3608,4.48911,4.44195,19.14251,4.0695,6.40886,0.83693,7.0
ABAX,36105,USD,2017,Q4,2018-07-30,2018-07-30,46661000.0,5467000.0,50129000.0,0.54601,0.15797,0.11105999999999999,0.09349,0.07967,1.84454,6.02206,0.17340999999999998,0.016030000000000003,1.1987,1.1747100000000001,10.79305,12.82167,2.21105,0.60034,4.0
ABBV,61199,USD,2021,Q1,2021-05-07,2021-05-07,21258000000.0,85530000000.0,18452000000.0,0.6482100000000001,0.2616,0.10278,0.37566,0.03428,3.57666,0.83155,9.95908,0.5683,2.96665,2.95518,28.864290000000004,7.883839999999999,10.6107,4.7584800000000005,4.0
ABC,187024,USD,2021,Q2,2021-05-05,2021-05-05,2719282000.0,6190997000.0,7714295000.0,0.028319999999999998,0.01178,-0.01909,36.45114,-0.07971,-2.0590599999999997,1.07494,-458.31012999999996,0.13171,-18.3349,-18.305429999999998,960.57528,-1.37887,37.75257,1.73928,5.0
ABCD,358762,USD,2018,Q3,2018-11-01,2018-11-01,46106000.0,43557000.0,17537000.0,0.72514,0.16277,0.26873,-214.801,0.23301,0.40618000000000004,0.56128,-922.8557199999999,0.23506999999999997,0.91832,0.89581,3.4173199999999997,-0.00428,0.37301,,7.0
ABM,199984,USD,2021,Q2,2021-06-09,2021-06-09,240200000.0,641200000.0,465300000.0,0.15803,0.02532,0.03655,0.13408,0.05656,2.1692299999999998,1.4085299999999998,1.3702299999999998,0.16908,3.1991099999999997,3.17425,87.52424,23.85981,6.9396,0.7472,6.0
ABMC,160965,USD,2021,Q1,2021-05-20,2021-05-20,-782000.0,1290000.0,-1397000.0,0.28934,-0.21556,-0.25772,0.71768,-0.58121,1.36027,0.33091,-2.2348,0.73005,-0.027460000000000002,-0.027460000000000002,0.10657,-0.03827,-0.037360000000000004,,1.0
ABT,63877,USD,2021,Q1,2021-05-05,2021-05-05,10141000000.0,18444000000.0,7862000000.0,0.56819,0.17966,0.1533,0.16940999999999998,0.03932,1.37352,1.75068,3.30833,0.1267,3.2248200000000002,3.20003,21.03567,18.90833,4.42933,1.5335299999999998,5.0
ACAT,33956,USD,2016,Q3,2017-02-06,2017-02-06,-63507000.0,79075000.0,-108234000.0,0.06876,-0.16619,-0.1524,-0.69803,-0.22675,1.39745,1.79472,2.07844,0.2315,-5.9374400000000005,-5.95571,38.96063,8.50596,-8.29729,0.00015,2.0
ACCO,120923,USD,2021,Q1,2021-04-28,2021-04-28,190400000.0,1204100000.0,159300000.0,0.29478000000000004,0.06845,0.01998,0.0474,0.01119,4.74107,1.56335,3.2349,0.40114,0.3549,0.35183000000000003,17.76182,7.4866600000000005,1.6826,0.25984,4.0
ACET_delis,191612,USD,2019,Q2,2019-02-20,2019-02-20,14066000.0,317398000.0,132590000.0,0.15683,-0.02635,-0.44438999999999995,-3.3176400000000004,-0.41213999999999995,-0.41943,1.6614799999999998,7.04979,0.4138,-8.97663,-8.97663,20.19988,2.70573,3.76505,0.17856,2.0
ACIA,353923,USD,2020,Q4,2021-03-01,2021-03-01,100386000.0,0.0,79813000.0,0.48693000000000003,0.15308,0.15492,0.12843,0.10489000000000001,0.8829799999999999,4.5128900000000005,0.22441999999999998,0.0,2.15535,2.09079,13.91223,16.7823,1.9031200000000001,,7.0
ACN,61372,USD,2021,Q3,2021-06-24,2021-06-24,9099394000.0,70786000.0,11361482000.0,0.31989,0.15032,0.12050999999999999,0.29046,0.13718,1.96617,1.41631,1.11747,0.00168,9.09528,8.93807,75.47176,30.44541,17.882839999999998,3.4428900000000002,7.0
